# Name : Surface component 1
# Stage: 45.000 s
# Units: length:mm angle:deg strain:% 
id,x,y,z,major_strain
506,3.0479,38.8387,0.0000,0.4500
507,3.5946,38.8403,0.0000,1.1580
508,4.1367,38.8339,0.0000,1.3699
509,4.6773,38.8305,0.0000,1.1176
510,5.2194,38.8259,0.0000,0.8546
511,5.7620,38.8235,0.0000,1.0031
512,6.3061,38.8186,0.0000,1.0827
513,6.8495,38.8154,0.0000,1.1270
514,7.3915,38.8103,0.0000,1.1300
515,7.9352,38.8080,0.0000,1.1294
516,8.4805,38.8051,0.0000,0.8918
517,9.0235,38.7986,0.0000,0.6925
518,9.5697,38.7920,0.0000,0.4872
519,10.1038,38.8074,0.0000,0.6723
520,-21.0067,38.6136,0.0000,0.9819
521,-20.5128,38.4493,0.0000,0.7263
522,-19.9913,38.4318,0.0000,0.7869
523,-19.4589,38.4308,0.0000,0.9306
524,-18.9206,38.4316,0.0000,0.9268
525,-18.3806,38.4328,0.0000,0.7160
526,-17.8389,38.4340,0.0000,0.9700
527,-17.2965,38.4332,0.0000,1.1317
528,-16.7549,38.4368,0.0000,0.9562
529,-16.2125,38.4408,0.0000,0.8519
530,-15.6697,38.4417,0.0000,0.9967
531,-15.1253,38.4416,0.0000,0.9403
532,-14.5816,38.4453,0.0000,0.9747
533,-14.0388,38.4470,0.0000,1.1311
534,-13.4965,38.4474,0.0000,1.1037
535,-12.9551,38.4492,0.0000,1.1737
536,-12.4120,38.4529,0.0000,1.4118
537,-11.8699,38.4567,0.0000,1.5168
538,-11.3278,38.4585,0.0000,1.3642
539,-10.7849,38.4612,0.0000,1.3528
540,-10.2438,38.4671,0.0000,1.6206
541,-9.7111,38.4685,0.0000,2.4739
542,-9.1719,38.4673,0.0000,2.2682
543,-8.6500,38.5108,0.0000,6.7727
544,-8.1316,38.5755,0.0000,11.3472
545,-7.6231,38.6377,0.0000,5.0615
546,-7.0762,38.6100,0.0000,0.3672
547,-6.5420,38.6126,0.0000,0.1159
548,-6.0021,38.6120,0.0000,0.0812
549,-5.4606,38.6139,0.0000,0.2585
550,-4.9200,38.6140,0.0000,-0.0432
551,-4.3767,38.6099,0.0000,-0.0510
552,-3.8342,38.6047,0.0000,1.5373
553,-3.2901,38.5709,0.0000,5.4888
554,-2.7229,38.5081,0.0000,7.2849
555,-2.1562,38.4676,0.0000,3.8986
556,-1.6076,38.4553,0.0000,0.9653
557,-1.0624,38.4519,0.0000,0.9641
558,-0.5226,38.4488,0.0000,1.3507
559,0.0200,38.4434,0.0000,1.1463
560,0.5627,38.4468,0.0000,0.8084
561,1.1034,38.4430,0.0000,0.9001
562,1.6452,38.4395,0.0000,0.9102
563,2.1873,38.4361,0.0000,0.6852
564,2.7288,38.4356,0.0000,0.4073
565,3.2686,38.4286,0.0000,0.6611
566,3.8146,38.4263,0.0000,1.0511
567,4.3584,38.4207,0.0000,0.9866
568,4.9016,38.4193,0.0000,1.0832
569,5.4457,38.4161,0.0000,1.1412
570,5.9874,38.4119,0.0000,1.0490
571,6.5295,38.4097,0.0000,0.9992
572,7.0734,38.4040,0.0000,1.0248
573,7.6155,38.3987,0.0000,0.8524
574,8.1598,38.3979,0.0000,0.8040
575,8.7053,38.3962,0.0000,0.5987
576,9.2497,38.3912,0.0000,0.2153
577,9.7896,38.3816,0.0000,-0.0337
578,10.2732,38.4335,0.0000,0.5401
579,-20.8332,38.0695,0.0000,0.6499
580,-20.2864,38.0072,0.0000,0.7615
581,-19.7497,37.9981,0.0000,1.0249
582,-19.2115,37.9979,0.0000,1.0163
583,-18.6716,37.9998,0.0000,1.0598
584,-18.1297,38.0038,0.0000,1.2707
585,-17.5866,37.9997,0.0000,1.3420
586,-17.0438,38.0011,0.0000,1.1569
587,-16.5032,38.0059,0.0000,1.2193
588,-15.9607,38.0089,0.0000,1.3531
589,-15.4156,38.0081,0.0000,1.2346
590,-14.8722,38.0102,0.0000,1.2615
591,-14.3282,38.0134,0.0000,1.4108
592,-13.7874,38.0143,0.0000,1.2646
593,-13.2441,38.0161,0.0000,1.2174
594,-12.7026,38.0150,0.0000,1.2401
595,-12.1586,38.0176,0.0000,1.4076
596,-11.6166,38.0206,0.0000,1.4403
597,-11.0758,38.0259,0.0000,1.1660
598,-10.5348,38.0292,0.0000,0.9935
599,-9.9955,38.0330,0.0000,1.2625
600,-9.4644,38.0295,0.0000,1.2302
601,-8.9384,38.0381,0.0000,3.5900
602,-8.4902,38.1180,0.0000,7.5127
603,-7.9310,38.1643,0.0000,8.8309
604,-7.3913,38.2143,0.0000,3.2790
605,-6.8343,38.1856,0.0000,0.4714
606,-6.2953,38.1863,0.0000,-0.3471
607,-5.7560,38.1851,0.0000,-0.3109
608,-5.2143,38.1838,0.0000,-0.0050
609,-4.6714,38.1853,0.0000,-0.0218
610,-4.1282,38.1812,0.0000,0.5263
